"#","Latin Input","Devanagari Target","Devanagari Predicted","Correct"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","आगुस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचिनेटेंट","❌"
"43","achivement","अचीवमेंट","अचिवेटनें","❌"
"44","acchi","अच्छी","अच्ची","❌"
"45","achchi","अच्छी","अच्ची","❌"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अछूत","❌"
"48","achhanera","अछनेरा","अचानेरा","❌"
"49","achnera","अछनेरा","अचनेरा","❌"
"50","ajmeedh","अजमीढ़","अम्मिध","❌"
"51","ajhar","अजहर","अजहर","✅"
"52","azhar","अजहर","अजहर","✅"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अग्यात","❌"
"56","agyat","अज्ञात","अग्ञत","❌"
"57","atakta","अटकता","अटकता","✅"
"58","atkata","अटकता","आटकता","❌"
"59","atake","अटके","अटके","✅"
"60","atke","अटके","एटके","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अत्वाल","❌"
"63","attahasa","अट्टहास","अत््शा","❌"
"64","atthaas","अट्टहास","अथ्ाास","❌"
"65","atthas","अट्टहास","अथ्थास","❌"
"66","addon","अड्डों","एड़ों","❌"
"67","athak","अथक","अथाक","❌"
"68","atharv","अथर्व","अथ्रव","❌"
"69","atharva","अथर्व","अथ्रवा","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","आदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","एडवात","❌"
"74","adwait","अद्वैत","अदावित","❌"
"75","advaitvaad","अद्वैतवाद","अद्वादवााद","❌"
"76","advaitwad","अद्वैतवाद","अद्वादवााद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","एडविवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगराक","❌"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंगर्जी","❌"
"12","angreji","अंग्रज़ी","अंगरेजी","❌"
"13","angrzi","अंग्रज़ी","अंगर्जी","❌"
"14","antah","अंतः","अंठा","❌"
"15","antaha","अंतः","अंठाा","❌"
"16","antarmukh","अंतर्मुख","अंतरमुख","❌"
"17","antmurkh","अंतर्मुख","अंतमुर्ख","❌"
"18","antrmukh","अंतर्मुख","अंत्मुख","❌"
"19","andrabee","अंद्राबी","अंद्रासीय","❌"
"20","andrabi","अंद्राबी","अंद्रबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अंबनी","❌"
"25","ambani","अंबानी","अंबनी","❌"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","अकप्पोलस","❌"
"28","akapulko","अकापुल्को","अकप्लको","❌"
"29","akhand","अखंड","अखंद","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगावाई","❌"
"32","agvaai","अगवाई","अग्वाई","❌"
"33","augustine","अगस्टाइन","ऑगुस्टन","❌"
"34","augustustine","अगस्टाइन","ऑगुस्टसनी","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","आउत्स्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अच्छा","❌"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचिमेंत","❌"
"43","achivement","अचीवमेंट","अचिमेवेंत","❌"
"44","acchi","अच्छी","अच्ची","❌"
"45","achchi","अच्छी","अच्ची","❌"
"46","achhi","अच्छी","अच्छी","✅"
"47","achyut","अच्युत","अच्यूत","❌"
"48","achhanera","अछनेरा","अच्चरणार","❌"
"49","achnera","अछनेरा","अचनेरा","❌"
"50","ajmeedh","अजमीढ़","अजमी","❌"
"51","ajhar","अजहर","अहर","❌"
"52","azhar","अजहर","अहर","❌"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञत","❌"
"57","atakta","अटकता","अतक्त","❌"
"58","atkata","अटकता","अत्कता","❌"
"59","atake","अटके","आतके","❌"
"60","atke","अटके","एटके","❌"
"61","atwaal","अटवाल","अत्वल","❌"
"62","atwal","अटवाल","अत्वल","❌"
"63","attahasa","अट्टहास","अत्थासा","❌"
"64","atthaas","अट्टहास","अत्थास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","एडड़न","❌"
"67","athak","अथक","अथाक","❌"
"68","atharv","अथर्व","अथर","❌"
"69","atharva","अथर्व","अथरवा","❌"
"70","adad","अदद","अदद","✅"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","एदवाइत","❌"
"74","adwait","अद्वैत","अदवात","❌"
"75","advaitvaad","अद्वैतवाद","एद्वात्वाद","❌"
"76","advaitwad","अद्वैतवाद","एद्वात्वद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","एदविवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनाकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगराक","❌"
"11","angraji","अंग्रज़ी","अंगराजी","❌"
"12","angreji","अंग्रज़ी","अंगरेजी","❌"
"13","angrzi","अंग्रज़ी","अंगरजी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतर्मुख","✅"
"17","antmurkh","अंतर्मुख","अंत्मुर्ख","❌"
"18","antrmukh","अंतर्मुख","अंत्मुच्","❌"
"19","andrabee","अंद्राबी","अंदररे","❌"
"20","andrabi","अंद्राबी","अंदर्बी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अमाबनी","❌"
"25","ambani","अंबानी","अंबानी","✅"
"26","akram","अकरम","अकररम","❌"
"27","acapulco","अकापुल्को","अकुपुल्क","❌"
"28","akapulko","अकापुल्को","अकुकुल्","❌"
"29","akhand","अखंड","अखंंड","❌"
"30","akhil","अखिल","अखील","❌"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","आगस्तियों","❌"
"34","augustustine","अगस्टाइन","बगुस्त्सूइं","❌"
"35","agsta","अगस्ता","अगस्ता","✅"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","आगुसता","❌"
"38","agr","अग्र","एग्र","❌"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अखमभा","❌"
"41","achanbha","अचंभा","अखंभा","❌"
"42","achievement","अचीवमेंट","अविचेंतेंट","❌"
"43","achivement","अचीवमेंट","अविचेंतें","❌"
"44","acchi","अच्छी","अची","❌"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अछ्युत","❌"
"48","achhanera","अछनेरा","अच्नारा","❌"
"49","achnera","अछनेरा","अचनरा","❌"
"50","ajmeedh","अजमीढ़","अजमीध","❌"
"51","ajhar","अजहर","अझर","❌"
"52","azhar","अजहर","अझर","❌"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अगनात","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","अतके","❌"
"60","atke","अटके","आतके","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अतवल","❌"
"63","attahasa","अट्टहास","अत्ताशा","❌"
"64","atthaas","अट्टहास","अत्थास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","अद्डों","❌"
"67","athak","अथक","अथक","✅"
"68","atharv","अथर्व","अथारव","❌"
"69","atharva","अथर्व","अथारवा","❌"
"70","adad","अदद","अदद","✅"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अदवाइट","❌"
"74","adwait","अद्वैत","अदवाइट","❌"
"75","advaitvaad","अद्वैतवाद","अद्विवादा","❌"
"76","advaitwad","अद्वैतवाद","अद्विवादा","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अदवविवास","❌"
"80","adhiik","अधीक","आधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंगराजी","❌"
"12","angreji","अंग्रज़ी","अंगरजी","❌"
"13","angrzi","अंग्रज़ी","अंगर्जी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतरमुक","❌"
"17","antmurkh","अंतर्मुख","अंत्रमुक","❌"
"18","antrmukh","अंतर्मुख","अंतरमुक","❌"
"19","andrabee","अंद्राबी","अंंदराबे","❌"
"20","andrabi","अंद्राबी","अंदराबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अमनबानी","❌"
"25","ambani","अंबानी","अमनबीनी","❌"
"26","akram","अकरम","अक्रमम","❌"
"27","acapulco","अकापुल्को","अपाकलपोक","❌"
"28","akapulko","अकापुल्को","अपकुकलोप","❌"
"29","akhand","अखंड","अखंडड","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अग्वाई","❌"
"33","augustine","अगस्टाइन","ऑग्स्टनसन","❌"
"34","augustustine","अगस्टाइन","ऑगुस्ट्सियों","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","औगस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अचमभाे","❌"
"41","achanbha","अचंभा","अचंभाे","❌"
"42","achievement","अचीवमेंट","अहिवेमेंट","❌"
"43","achivement","अचीवमेंट","अहिमेविंटं","❌"
"44","acchi","अच्छी","अच्ची","❌"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अच्छी","✅"
"47","achyut","अच्युत","अच्युत","✅"
"48","achhanera","अछनेरा","अच्छानार","❌"
"49","achnera","अछनेरा","अच्नेरा","❌"
"50","ajmeedh","अजमीढ़","अज्मीदह","❌"
"51","ajhar","अजहर","अझार","❌"
"52","azhar","अजहर","अझार","❌"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अग्यात","❌"
"56","agyat","अज्ञात","अग्यात","❌"
"57","atakta","अटकता","अटकता","✅"
"58","atkata","अटकता","अटकता","✅"
"59","atake","अटके","एटके","❌"
"60","atke","अटके","एटके","❌"
"61","atwaal","अटवाल","अत्वाल","❌"
"62","atwal","अटवाल","अत्वल","❌"
"63","attahasa","अट्टहास","अत्थााा","❌"
"64","atthaas","अट्टहास","अत्थास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","अद्दों","❌"
"67","athak","अथक","अठक","❌"
"68","atharv","अथर्व","अठर्व","❌"
"69","atharva","अथर्व","अठार्व","❌"
"70","adad","अदद","अदद","✅"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अद्वात","❌"
"74","adwait","अद्वैत","अद्वात","❌"
"75","advaitvaad","अद्वैतवाद","अवदववतादा","❌"
"76","advaitwad","अद्वैतवाद","अवद्ववताद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अद्विवास","❌"
"80","adhiik","अधीक","अधिकिक","❌"
"1","ank","अंक","आंक","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनककों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकको","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अग्रगाजी","❌"
"12","angreji","अंग्रज़ी","अग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रगी","❌"
"14","antah","अंतः","अंता","❌"
"15","antaha","अंतः","अंताा","❌"
"16","antarmukh","अंतर्मुख","अंतरमुख्","❌"
"17","antmurkh","अंतर्मुख","अंतमूर्भक","❌"
"18","antrmukh","अंतर्मुख","अंतरमुख्","❌"
"19","andrabee","अंद्राबी","अंद्रबी","❌"
"20","andrabi","अंद्राबी","अंद्रबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अंबानी","✅"
"25","ambani","अंबानी","अंबानी","✅"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","अकापोक्श","❌"
"28","akapulko","अकापुल्को","अकापकोल","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","अगसस्नीन","❌"
"34","augustustine","अगस्टाइन","अग्सुस्टियों","❌"
"35","agsta","अगस्ता","अग्सता","❌"
"36","agusta","अगस्ता","अग्तसा","❌"
"37","augusta","अगस्ता","अगुसता","❌"
"38","agr","अग्र","एग्र","❌"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अचमबा","❌"
"41","achanbha","अचंभा","अचांभा","❌"
"42","achievement","अचीवमेंट","अचिवेमेंट","❌"
"43","achivement","अचीवमेंट","अचिवेंंट","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अच्युत","✅"
"48","achhanera","अछनेरा","अछेनरा","❌"
"49","achnera","अछनेरा","अचनेरा","❌"
"50","ajmeedh","अजमीढ़","अजमीद","❌"
"51","ajhar","अजहर","अजर","❌"
"52","azhar","अजहर","अजर","❌"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अटकाता","❌"
"59","atake","अटके","आतके","❌"
"60","atke","अटके","एटके","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अतवाल","❌"
"63","attahasa","अट्टहास","अत्थाशा","❌"
"64","atthaas","अट्टहास","अत्ाास","❌"
"65","atthas","अट्टहास","अत्ाास","❌"
"66","addon","अड्डों","अददों","❌"
"67","athak","अथक","अठक","❌"
"68","atharv","अथर्व","अथर्व","✅"
"69","atharva","अथर्व","अथर्वा","❌"
"70","adad","अदद","आदद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अदवात","❌"
"74","adwait","अद्वैत","अदवात","❌"
"75","advaitvaad","अद्वैतवाद","अदवतावाद","❌"
"76","advaitwad","अद्वैतवाद","अदवतावाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अदविवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","एनक","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अनिकत","❌"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंकरो","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगराक","❌"
"11","angraji","अंग्रज़ी","अंग्राजी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्री","❌"
"14","antah","अंतः","अंतह","❌"
"15","antaha","अंतः","अंतहा","❌"
"16","antarmukh","अंतर्मुख","अंतरमुख","❌"
"17","antmurkh","अंतर्मुख","अंतरमुख","❌"
"18","antrmukh","अंतर्मुख","अंतरमुख","❌"
"19","andrabee","अंद्राबी","अंदरबी","❌"
"20","andrabi","अंद्राबी","अंदररीबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अम्बानी","❌"
"25","ambani","अंबानी","अंबानी","✅"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","अकापूलक","❌"
"28","akapulko","अकापुल्को","अकापुलको","❌"
"29","akhand","अखंड","अखांड","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","अगूस्टीन","❌"
"34","augustustine","अगस्टाइन","अगुस्त्सीयन","❌"
"35","agsta","अगस्ता","अज्सता","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","अगुस्ता","❌"
"38","agr","अग्र","एएग्र","❌"
"39","agra","अग्र","अग्रा","❌"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचानभा","❌"
"42","achievement","अचीवमेंट","अशिवेमेंत","❌"
"43","achivement","अचीवमेंट","अशिवेमेंट","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अछ्ची","❌"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अछुयत","❌"
"48","achhanera","अछनेरा","अछनेरा","✅"
"49","achnera","अछनेरा","अचेनारा","❌"
"50","ajmeedh","अजमीढ़","अजमीध","❌"
"51","ajhar","अजहर","अज़ार","❌"
"52","azhar","अजहर","अज़ार","❌"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अटकता","✅"
"58","atkata","अटकता","अतकाता","❌"
"59","atake","अटके","आतके","❌"
"60","atke","अटके","एटीक","❌"
"61","atwaal","अटवाल","अटवाल","✅"
"62","atwal","अटवाल","अटवाल","✅"
"63","attahasa","अट्टहास","अत्थासा","❌"
"64","atthaas","अट्टहास","अत्थास","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","एड्डों","❌"
"67","athak","अथक","आठाक","❌"
"68","atharv","अथर्व","अथार्व","❌"
"69","atharva","अथर्व","अठारवा","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अदवात","❌"
"74","adwait","अद्वैत","अदवात","❌"
"75","advaitvaad","अद्वैतवाद","अद्वावितावाद","❌"
"76","advaitwad","अद्वैतवाद","अद्वेतवाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधीवास","❌"
"79","advivas","अधिवास","एडविवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","आंक","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकित","✅"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अंकर","❌"
"9","angaarak","अंगारक","अंगराक","❌"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंताह","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतरमुख","❌"
"17","antmurkh","अंतर्मुख","अंत्रमुख","❌"
"18","antrmukh","अंतर्मुख","अंतरमुख","❌"
"19","andrabee","अंद्राबी","अंडरीबी","❌"
"20","andrabi","अंद्राबी","अंद्रबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधपान","❌"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अमबानी","❌"
"25","ambani","अंबानी","अमबनी","❌"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","एकप्पुलोक","❌"
"28","akapulko","अकापुल्को","अकपपुलक","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","आखिल","❌"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अग्वाई","❌"
"33","augustine","अगस्टाइन","ऑगस्टीन","❌"
"34","augustustine","अगस्टाइन","ऑग्स्टूसिन","❌"
"35","agsta","अगस्ता","अगस्ता","✅"
"36","agusta","अगस्ता","अगस्ता","✅"
"37","augusta","अगस्ता","आगस्ता","❌"
"38","agr","अग्र","एग्र","❌"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचिवेमेंट","❌"
"43","achivement","अचीवमेंट","अचिवेमेंट","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अछुयत","❌"
"48","achhanera","अछनेरा","अछेनारा","❌"
"49","achnera","अछनेरा","अछेनाा","❌"
"50","ajmeedh","अजमीढ़","अजमीध","❌"
"51","ajhar","अजहर","अजहर","✅"
"52","azhar","अजहर","अजहर","✅"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अग्नत","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अतकता","❌"
"58","atkata","अटकता","अतकता","❌"
"59","atake","अटके","अटके","✅"
"60","atke","अटके","अटके","✅"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अतवाल","❌"
"63","attahasa","अट्टहास","अत्थासा","❌"
"64","atthaas","अट्टहास","अठसाह","❌"
"65","atthas","अट्टहास","अत्थास","❌"
"66","addon","अड्डों","एड्डोन","❌"
"67","athak","अथक","अठकक","❌"
"68","atharv","अथर्व","अथार्व","❌"
"69","atharva","अथर्व","अथार्व","❌"
"70","adad","अदद","अददद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","आदानी","❌"
"73","advait","अद्वैत","अदववित","❌"
"74","adwait","अद्वैत","अद्वात","❌"
"75","advaitvaad","अद्वैतवाद","अद्विवाद","❌"
"76","advaitwad","अद्वैतवाद","अद्वाववाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","एडविवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","एनक","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अनकित","❌"
"4","anakon","अंकों","अनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अनकों","❌"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","एंकोर","❌"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगारक","✅"
"11","angraji","अंग्रज़ी","अंग्राजी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंतह","❌"
"15","antaha","अंतः","अंताहा","❌"
"16","antarmukh","अंतर्मुख","अंतरमुख","❌"
"17","antmurkh","अंतर्मुख","अंतुमृख","❌"
"18","antrmukh","अंतर्मुख","अंतरमुख","❌"
"19","andrabee","अंद्राबी","अंद्रबी","❌"
"20","andrabi","अंद्राबी","अंद्राबी","✅"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधेरी","✅"
"24","ambaani","अंबानी","अम्बनी","❌"
"25","ambani","अंबानी","अम्बनी","❌"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","अकाप्लोफ","❌"
"28","akapulko","अकापुल्को","अपाकुलकों","❌"
"29","akhand","अखंड","अखंड","✅"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","आजुस्टनन","❌"
"34","augustustine","अगस्टाइन","आगस्तुस्तीनी","❌"
"35","agsta","अगस्ता","अगस्ता","✅"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","आगुस्ता","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अशिमेंटेंट","❌"
"43","achivement","अचीवमेंट","अशिघमेंट","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अच्ची","❌"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अछ्युत","❌"
"48","achhanera","अछनेरा","अच्चेनार","❌"
"49","achnera","अछनेरा","अचनेरा","❌"
"50","ajmeedh","अजमीढ़","अजमीदध","❌"
"51","ajhar","अजहर","अज़र","❌"
"52","azhar","अजहर","अज़हर","❌"
"53","ajit","अजित","अजित","✅"
"54","agnat","अज्ञात","अग्नात","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञतत","❌"
